epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.227,1.88571,1.64018,1.22667,0.73776,0.43916,0.49205,0.2422,1.62453,1.03725,1.08446,0.00332919,0.00332919,0.00332919
2,374.781,1.69887,1.09994,1.08738,0.73775,0.44755,0.5022,0.25257,1.60041,0.99448,1.0862,0.00653061,0.00653061,0.00653061
3,526.483,1.6988,1.04719,1.08124,0.7548,0.41503,0.47386,0.24109,1.63547,1.01495,1.10126,0.00960002,0.00960002,0.00960002
4,668.335,1.67002,1.00008,1.07399,0.76708,0.46181,0.52689,0.26956,1.57018,0.89391,1.0729,0.009406,0.009406,0.009406
5,806.899,1.63962,0.96034,1.06465,0.78314,0.47297,0.54436,0.28028,1.54393,0.85039,1.06461,0.009208,0.009208,0.009208
6,967.217,1.60574,0.91748,1.05384,0.78037,0.49175,0.56166,0.29048,1.52147,0.82301,1.05295,0.00901,0.00901,0.00901
7,1115.12,1.58431,0.88499,1.04565,0.79099,0.49841,0.56871,0.29595,1.50133,0.80765,1.04734,0.008812,0.008812,0.008812
8,1261.26,1.56498,0.87229,1.03733,0.79412,0.51156,0.58288,0.30619,1.48015,0.78289,1.0427,0.008614,0.008614,0.008614
9,1394.96,1.54743,0.85028,1.03561,0.80351,0.51554,0.58664,0.30909,1.47702,0.77454,1.03753,0.008416,0.008416,0.008416
10,1542.95,1.52826,0.83129,1.02918,0.81187,0.51215,0.59484,0.31843,1.45288,0.75095,1.03105,0.008218,0.008218,0.008218
11,1696.62,1.52603,0.82868,1.02798,0.81012,0.52766,0.59863,0.31811,1.45281,0.74719,1.03716,0.00802,0.00802,0.00802
12,1842.75,1.51026,0.82098,1.02527,0.8077,0.52916,0.60114,0.31868,1.45002,0.74346,1.02677,0.007822,0.007822,0.007822
13,1977.39,1.50621,0.81049,1.02211,0.81479,0.52817,0.60384,0.32074,1.44502,0.73029,1.02969,0.007624,0.007624,0.007624
14,2116.94,1.501,0.80164,1.01777,0.81068,0.53383,0.60624,0.32138,1.44713,0.72345,1.02491,0.007426,0.007426,0.007426
15,2278.5,1.49557,0.79242,1.01404,0.82753,0.53995,0.61765,0.33237,1.42519,0.70825,1.01797,0.007228,0.007228,0.007228
16,2413.69,1.48065,0.78349,1.01335,0.8299,0.54104,0.62158,0.33436,1.42176,0.70402,1.01765,0.00703,0.00703,0.00703
17,2535.68,1.48971,0.78654,1.01355,0.81766,0.54562,0.61895,0.32921,1.42883,0.70207,1.02254,0.006832,0.006832,0.006832
18,2699.01,1.47704,0.77341,1.01326,0.82265,0.54477,0.62559,0.33806,1.41187,0.69234,1.0148,0.006634,0.006634,0.006634
19,2857.19,1.46836,0.77085,1.01022,0.82271,0.55451,0.63276,0.33976,1.41238,0.68431,1.01676,0.006436,0.006436,0.006436
20,3007.24,1.46626,0.76106,1.00397,0.82718,0.55199,0.62912,0.33664,1.40752,0.67805,1.01033,0.006238,0.006238,0.006238
21,3217.04,1.4582,0.76119,1.00633,0.82576,0.55351,0.63008,0.34031,1.39714,0.67974,1.01021,0.00604,0.00604,0.00604
22,3346.04,1.4572,0.75522,1.00241,0.82319,0.55693,0.63215,0.3411,1.39722,0.67117,1.00662,0.005842,0.005842,0.005842
23,3479.47,1.4482,0.74655,1.00356,0.82639,0.55572,0.63579,0.34309,1.39931,0.66826,1.0087,0.005644,0.005644,0.005644
24,3634.23,1.44293,0.74167,0.99785,0.83198,0.55643,0.63747,0.34436,1.39845,0.66516,1.00612,0.005446,0.005446,0.005446
25,3801.64,1.45259,0.74717,0.99716,0.83126,0.55877,0.63976,0.34584,1.39639,0.66226,1.00945,0.005248,0.005248,0.005248
26,3947.87,1.44271,0.73853,0.99942,0.83285,0.55805,0.6373,0.34498,1.38843,0.65778,1.00612,0.00505,0.00505,0.00505
27,4128.45,1.43756,0.73208,0.99554,0.83282,0.56114,0.63973,0.34494,1.38871,0.65498,1.00537,0.004852,0.004852,0.004852
28,4338.76,1.42803,0.72659,0.99606,0.83409,0.56144,0.64301,0.34876,1.38582,0.64842,1.00577,0.004654,0.004654,0.004654
29,4475.12,1.43214,0.72923,0.99173,0.83285,0.56593,0.64605,0.35008,1.38317,0.64636,1.00181,0.004456,0.004456,0.004456
30,4610.29,1.42563,0.72182,0.99239,0.83335,0.56782,0.64707,0.35283,1.37897,0.64307,1.00414,0.004258,0.004258,0.004258
31,4797.08,1.42255,0.7184,0.9906,0.83605,0.56564,0.6462,0.35069,1.37751,0.64324,1.0006,0.00406,0.00406,0.00406
32,4946.93,1.40984,0.70953,0.98582,0.83322,0.57112,0.64981,0.35351,1.37577,0.6396,1.0014,0.003862,0.003862,0.003862
33,5085.2,1.40056,0.70214,0.98951,0.83162,0.57338,0.65198,0.35465,1.37427,0.63399,1.00122,0.003664,0.003664,0.003664
34,5275.52,1.4178,0.71172,0.9879,0.83787,0.57332,0.65265,0.3553,1.37359,0.63368,0.99945,0.003466,0.003466,0.003466
35,5432.67,1.39205,0.69729,0.98571,0.83665,0.57195,0.6536,0.35666,1.37098,0.63017,0.99945,0.003268,0.003268,0.003268
36,5631.83,1.40146,0.69823,0.98584,0.83603,0.57331,0.65242,0.35572,1.36942,0.63058,0.99817,0.00307,0.00307,0.00307
37,5777.61,1.39573,0.69431,0.98278,0.83661,0.57504,0.65514,0.35714,1.3675,0.62853,0.99702,0.002872,0.002872,0.002872
38,5931.77,1.39348,0.69423,0.98009,0.83628,0.57532,0.65511,0.3576,1.36769,0.62675,0.99744,0.002674,0.002674,0.002674
39,6080.35,1.3876,0.68833,0.97882,0.83639,0.57656,0.65583,0.35942,1.36356,0.62305,0.99453,0.002476,0.002476,0.002476
40,6228.67,1.38154,0.68057,0.9788,0.83566,0.57988,0.65899,0.35945,1.36581,0.62246,0.99546,0.002278,0.002278,0.002278
41,6376.5,1.36548,0.66024,0.98519,0.83507,0.57651,0.6557,0.35733,1.36972,0.62555,0.99771,0.00208,0.00208,0.00208
42,6517.28,1.35777,0.6543,0.98192,0.84074,0.57419,0.65614,0.35838,1.36646,0.62309,0.99813,0.001882,0.001882,0.001882
43,6690.11,1.34867,0.64535,0.98147,0.8364,0.57712,0.65607,0.35813,1.36679,0.62325,0.99876,0.001684,0.001684,0.001684
44,6842.18,1.34532,0.64385,0.97874,0.84032,0.57667,0.65644,0.35908,1.36615,0.62242,0.99762,0.001486,0.001486,0.001486
45,7013.02,1.34118,0.63892,0.97787,0.84005,0.57688,0.65733,0.35877,1.36529,0.6205,0.99568,0.001288,0.001288,0.001288
46,7176.62,1.33858,0.63622,0.9755,0.83728,0.57903,0.65831,0.3599,1.36194,0.61871,0.99495,0.00109,0.00109,0.00109
47,7342.42,1.33285,0.62789,0.97286,0.83996,0.57884,0.65883,0.35996,1.36219,0.61647,0.99503,0.000892,0.000892,0.000892
48,7487.94,1.31966,0.6204,0.9719,0.84179,0.57741,0.65924,0.36116,1.36136,0.61544,0.99542,0.000694,0.000694,0.000694
49,7628.92,1.32055,0.61918,0.96688,0.83944,0.57774,0.65859,0.36047,1.36264,0.61599,0.99547,0.000496,0.000496,0.000496
50,7780.74,1.31912,0.61584,0.96698,0.84109,0.57893,0.65953,0.36064,1.36359,0.61546,0.99572,0.000298,0.000298,0.000298
